strategy,step,inventory_A,inventory_B,inventory_C,total_inventory,min_inventory,imbalance,reward,budget,num_disruptions,chosen_product
adaptive,0,111,83,83,277,83,28,0.6127542644273779,9720.0,3,A
adaptive,1,93,101,65,259,65,36,0.5892178483980427,9440.0,2,B
adaptive,2,77,87,101,265,77,24,0.41595034477166537,9000.0,1,C
adaptive,3,67,72,86,225,67,19,0.500437219217397,8720.0,3,A
adaptive,4,50,57,70,177,50,20,0.282990341736299,8280.0,3,A
adaptive,5,33,43,54,130,33,21,0.0,7670.0,1,A
adaptive,6,70,30,40,140,30,40,0.1169397741084642,7230.0,0,A
adaptive,7,54,61,27,142,27,34,0.23862872388916934,6790.0,2,B
adaptive,8,39,46,12,97,12,34,0.0,5725.0,1,C
adaptive,9,21,34,0,55,0,34,0.0,4660.0,0,C
balanced,0,85,84,87,256,84,3,0.519476727654445,9610.0,2,A
balanced,1,72,67,68,207,67,5,0.5217427230351979,9220.0,3,B
balanced,2,55,95,51,201,51,44,0.3413208977196751,8830.0,3,B
balanced,3,42,75,40,157,40,35,0.3068552026689071,8440.0,2,C
balanced,4,29,59,65,153,29,36,0.18224702864397535,8050.0,2,C
balanced,5,13,43,50,106,13,37,0.0,7660.0,0,A
balanced,6,40,31,33,104,31,9,0.21873289640560314,7270.0,1,A
balanced,7,24,56,17,97,17,39,0.10087318647556662,6880.0,1,B
balanced,8,9,41,0,50,0,41,0.0,6490.0,2,C
cheap,0,88,85,83,256,83,5,0.5614643945101679,9670.0,3,A
cheap,1,78,68,71,217,68,10,0.5580505076235349,9340.0,0,C
cheap,2,62,51,59,172,51,11,0.3436771587546111,9010.0,0,B
cheap,3,46,36,42,124,36,10,0.38390279689058493,8680.0,3,B
cheap,4,30,22,24,76,22,8,0.16834277658866298,8350.0,1,B
cheap,5,18,10,7,35,7,11,0.0,8020.0,0,B
cheap,6,1,0,34,35,0,34,0.0,7690.0,0,C
do_nothing,0,85,86,87,258,85,2,0.5442725273386764,9810.0,3,A
do_nothing,1,72,72,71,215,71,1,0.6563840191029816,9620.0,1,A
do_nothing,2,57,61,57,175,57,4,0.4196285128343683,9430.0,3,A
do_nothing,3,45,47,42,134,42,5,0.3883027958033767,9240.0,0,A
do_nothing,4,31,33,27,91,27,6,0.20573316479302933,9050.0,1,A
do_nothing,5,16,20,9,45,9,11,0.0,8860.0,1,A
do_nothing,6,2,8,0,10,0,8,0.0,8670.0,2,A
fast,0,140,83,81,304,81,59,0.0,9265.0,3,A
fast,1,127,68,65,260,65,62,0.0,8530.0,3,C
fast,2,115,53,112,280,53,62,0.0,7795.0,1,C
fast,3,98,97,95,290,95,3,0.006778025678535665,7060.0,1,B
fast,4,80,80,140,300,80,60,0.0,6325.0,2,C
fast,5,62,66,121,249,62,59,0.0,5590.0,2,A
fast,6,108,48,109,265,48,61,0.0,4855.0,2,A
fast,7,91,36,93,220,36,57,0.0,4120.0,1,B
fast,8,73,81,81,235,73,8,0.06585580782196047,3385.0,1,B
fast,9,120,66,65,251,65,55,0.0,2650.0,2,A
fast,10,106,52,110,268,52,58,0.0,1915.0,3,C
fast,11,90,98,98,286,90,8,0.0,1180.0,3,B
fast,12,137,86,80,303,80,57,0.0,445.0,2,A
fast,13,137,86,80,303,80,57,0.0,445.0,2,C
fast,14,137,86,80,303,80,57,0.0,445.0,2,C
fast,15,137,86,80,303,80,57,0.0,445.0,2,C
fast,16,137,86,80,303,80,57,0.0,445.0,2,C
fast,17,137,86,80,303,80,57,0.0,445.0,2,C
fast,18,137,86,80,303,80,57,0.0,445.0,2,C
fast,19,137,86,80,303,80,57,0.0,445.0,2,C
random,0,85,85,84,254,84,1,0.5988827737481349,9750.0,2,C
random,1,71,132,65,268,65,67,0.0,9015.0,1,B
random,2,58,116,49,223,49,67,0.0,8295.0,2,A
random,3,45,102,53,200,45,57,0.33438382789156346,7985.0,0,C
random,4,32,86,36,154,32,54,0.14875343062421875,7565.0,2,B
random,5,13,129,27,169,13,116,0.0,7075.0,3,B
random,6,0,118,11,129,0,118,0.0,6610.0,2,C
risky,0,87,82,88,257,82,6,0.19434167725469798,9390.0,0,A
risky,1,68,115,70,253,68,47,0.16687837011017537,8780.0,3,B
risky,2,53,102,57,212,53,49,0.07795616416892448,8170.0,0,A
risky,3,87,87,40,214,40,47,0.10498332655716469,7560.0,3,A
risky,4,73,73,78,224,73,5,0.21509014368456775,6950.0,1,C
risky,5,57,60,62,179,57,5,0.1633561791892788,6340.0,1,A
risky,6,41,47,45,133,41,6,0.0547768345886557,5730.0,2,A
risky,7,23,33,31,87,23,10,0.0,5120.0,3,A
risky,8,9,20,13,42,9,11,0.0,4510.0,3,A
risky,9,40,3,0,43,0,40,0.0,3900.0,2,A
